id,V1_sex,V4_area_origin,V6_province,V8_age,V9_age_at_program_end,V11_criminal_record,V12_n_criminal_record,V13_n_crime_cat,V15_main_crime_cat,V16_violent_crime,V17_crime_classification,V19_committed_crime,V20_n_juvenile_records,V21_n_crime,V23_territory_of_execution,V24_finished_program,V26_finished_measure_grouped,V27_program_duration_cat,V28_days_from_crime_to_program,V29_program_duration,V115_RECID2015_recid,V10_date_of_birth_year,V10_date_of_birth_month,V22_main_crime_date_year,V22_main_crime_date_month,V30_program_start_year,V30_program_start_month,V31_program_end_month
691,0,0,0,15,17,1,0,0,0,1,1,0,1.0,4,0,0,0,0,587.0,132,1,1992,11,2008,8,2010,4,8
956,1,0,1,14,15,1,0,1,0,1,1,0,1.0,2,1,0,0,1,107.0,258,1,1995,7,2009,8,2009,12,8
2560,0,1,1,15,16,1,1,0,0,1,1,0,4.0,3,1,0,0,0,135.0,85,1,1994,1,2009,11,2010,3,6
2018,0,1,2,14,15,1,2,1,0,1,1,0,7.0,2,2,0,0,1,176.0,271,1,1994,4,2009,1,2009,6,3
1650,0,0,3,17,20,1,2,0,0,1,1,0,6.0,3,3,0,0,2,261.0,533,1,1990,9,2008,9,2009,5,11
4587,0,0,1,16,18,1,0,2,0,1,1,0,1.0,1,1,1,1,1,420.0,212,1,1992,4,2008,7,2009,9,4
1613,0,0,1,17,19,1,1,0,0,1,0,0,3.0,4,1,1,1,0,547.0,118,1,1990,10,2008,9,2010,3,7
1132,0,1,2,14,16,1,2,2,0,1,0,0,7.0,1,2,1,1,1,367.0,271,1,1994,1,2008,11,2009,11,8
925,0,0,1,17,19,1,2,2,0,1,0,0,6.0,1,1,1,1,1,541.0,302,1,1990,8,2008,3,2009,9,7
1703,0,1,1,17,17,1,1,2,0,1,1,0,4.0,1,1,2,2,0,109.0,29,1,1992,11,2010,1,2010,5,6
1014,0,1,1,15,15,1,0,2,0,1,1,0,2.0,1,1,2,2,0,65.0,28,1,1994,5,2010,1,2010,3,4
1638,0,1,2,16,17,1,0,2,0,1,0,0,1.0,1,2,3,3,1,455.0,193,1,1993,1,2009,1,2010,4,11
3212,0,2,1,17,17,1,0,2,0,1,1,0,1.0,1,1,2,2,0,43.0,16,1,1993,1,2010,6,2010,8,8
1458,0,0,0,16,16,1,1,1,0,1,1,0,4.0,2,0,2,2,0,44.0,0,1,1993,11,2010,2,2010,3,3
526,0,2,1,17,18,1,1,2,0,1,0,0,5.0,1,1,4,4,0,284.0,54,1,1992,3,2009,8,2010,6,8
3544,0,0,1,17,18,1,2,2,0,1,0,0,6.0,1,1,2,2,0,78.0,2,1,1992,4,2010,2,2010,5,5
